PDFname: CT14HERA2NNLO
 DATA SET: 542; Expt Name: CMS7jtR7y6; Expt Npt: 158;
!METADATA
{542, CMS7jtR7y6,     Pt         Ymn      Ymx          Exp      Th./Norm     TotErr     EXP/FIT  ERR/FIT    ChiSq  Shift    ShiftedData  UnCorErr  ReducedChi2  lob/lio, 1., 158, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465, 3.53946, R^2, r(k) =   31.155  -0.956   0.121   0.682  -0.306  -0.754   0.475   0.146  -0.044  -0.856   2.472  -0.376   0.009   1.310   1.425   0.000   0.655   0.000  -0.921  -0.357  -1.892   0.804  -0.322  -0.615  -3.465}
!DATA
ipt   x            Q       Exp        TotErr       ShiftedData   UnCorErr     r_1           r_2          r_3          r_4            r_5           r_6          r_7           r_8           r_9           r_10         r_11         r_12         r_13          r_14         r_15         r_16         r_17         r_18          r_19           r_20          r_21          r_22          r_23          r_24         r_25          r_26          r_27          r_28           r_29         r_30         r_31          r_32         r_33         r_34         r_35         r_36          r_37          r_38         r_39          r_40          r_41           r_42         r_43          r_44         r_45          r_46         r_47         r_48         r_49          r_50          r_51          r_52         r_53         r_54          r_55         r_56         r_57
2     0.0164661    148.    52600.     4809.        58540.        743.9        -1.25151      -1.27746     -1.28243     -1.2581        -1.28808      -1.23511     -1.25608      -1.13053      -1.2011       -1.22207     -1.26267     -1.26495     -1.2339       -1.28673     -1.21817     -1.27826     -1.2171      -1.25111      -1.23673       -1.1433       -1.33634      -1.14881      -1.32572      -1.3284      -1.13026      -1.35139      -1.11198      -1.20245       -1.29681     -1.28539     -1.23323      -1.22248     -1.26428     -1.23081     -1.24829     -1.28055      -1.20742      -1.24116     -1.24412      -1.2089       -1.25501       -1.12555     -1.28485      -1.23269     -1.24251      -1.20594     -1.27329     -1.26455     -1.15688      -1.18215      -1.27033      -1.23229     -1.13013     -1.22274      -1.27221     -1.26146     -1.23995
3     0.0186912    168.    26800.     2173.        29670.        461.7        -1.21746      -1.22266     -1.28958     -1.29218       -1.13992      -1.21681     -1.19731      -0.917912     -1.24626      -1.14143     -1.24388     -1.2272      -1.20988      -1.24626     -1.1802      -1.26987     -1.14533     -1.2272       -1.17197       -1.09357      -1.31817      -1.05848      -1.31514      -1.35261     -1.02036      -1.29066      -1.08425      -1.21941       -1.20013     -1.25016     -1.19515      -1.19731     -1.20381     -1.18757     -1.22699     -1.17695      -1.24713      -1.1319      -1.24345      -1.21269      -1.18887       -1.03032     -1.25839      -1.15486     -1.25904      -1.11977     -1.26251     -1.19645     -1.20554      -1.12411      -1.26641      -1.17566     -1.29998     -1.16093      -1.28222     -1.20381     -1.19926
4     0.0215839    194.    13300.     968.7        14670.        262.2        0.0629291     0.0518688    -0.0141114   -0.059878      0.160946      0.0389016    0.0884821     0.472159      0.000762777   0.154081     0.0251716    0.0610221    0.0572082     0.0133486    0.111365     0.0156369    0.149504     0.0301297     0.120137       0.188024      -0.0354691    0.229596      -0.0331808    -0.109458    0.295576      -0.0171625    0.243707      0.0396644      0.101449     0.0408085    0.107551      0.0804729    0.0545385    0.104882     0.0606407    0.11251       0.0240275     0.194127     0.032418      0.0877193     0.120519       0.300153     0.018688      0.123951     0.00533944    0.197178     0.0232647    0.0873379    0.0522502     0.140351      0.0125858     0.0873379    -0.1045      0.118612      0.0194508    0.0709382    0.0644546
5     0.0253667    228.    6120.      387.7        6699.         71.36        0.119955      0.0919283    -0.0264854   -0.117993      0.295684      0.0720291    0.126261      0.841087      -0.159893     0.273262     0.0327915    0.124439     0.0846413     0.079176     0.143778     0.0357343    0.20852      0.0396581     0.206278       0.203055      0.0302691     0.332119      -0.0414798    -0.175028    0.483324      0.0105101     0.283072      -0.000700673   0.234865     0.0348935    0.161155      0.115611     0.121497     0.11421      0.120516     0.22912       -0.0441424    0.321749     0.0151345     0.0669843     0.181054       0.508548     0.01037       0.21917      -0.0301289    0.309978     0.0140135    0.055213     0.0463845     0.211043      0.0309697     0.00658632   -0.340527    0.180353      0.0109305    0.110146     0.134669
6     0.0295944    266.    2660.      154.5        2905.         34.08        0.450117      0.449824     0.362676     0.252054       0.6027        0.435739     0.448357      1.0179        0.122946      0.577171     0.382923     0.491784     0.402582      0.432512     0.453052     0.429871     0.506162     0.368545      0.518192       0.438674      0.44689       0.528169      0.393779      0.264965     0.656103      0.49061       0.439261      0.286678       0.588908     0.393779     0.470657      0.433099     0.473592     0.4375       0.426643     0.586854      0.265258      0.609448     0.368545      0.344484      0.505282       0.664613     0.40493       0.55223      0.264965      0.58392      0.348885     0.370599     0.330399      0.481221      0.380869      0.305751     -0.0275822   0.486796      0.338322     0.431045     0.468897
7     0.0340447    306.    1230.      66.78        1340.         18.26        -0.680175     -0.604053    -0.713582    -0.780942      -0.559146     -0.661555    -0.687842     -0.309419     -1.07174      -0.602957    -0.711391    -0.600219    -0.751917     -0.615005    -0.728368    -0.624315    -0.675246    -0.722344     -0.627054      -0.813801     -0.616101     -0.743702     -0.616101     -0.725082    -0.604053     -0.446331     -0.908543     -0.882804      -0.492881    -0.645674    -0.676889     -0.726177    -0.577766    -0.667032    -0.70701     -0.525192     -0.922234     -0.556407    -0.743154     -0.871303     -0.596933      -0.659912    -0.68839      -0.573384    -0.913472     -0.580504    -0.720153    -0.743154    -0.879518     -0.694962     -0.759036     -0.854874    -1.1035      -0.712486     -0.752464    -0.685652    -0.633078
8     0.0387175    348.    594.       31.68        645.2         10.71        -0.737535     -0.669748    -0.73268     -0.798599      -0.677684     -0.722969    -0.78254      -0.481979     -1.11559      -0.700747    -0.748739    -0.672362    -0.786928     -0.672736    -0.788609    -0.686928    -0.773763    -0.774136     -0.703548      -0.886368     -0.610458     -0.823343     -0.670868     -0.755182    -0.735948     -0.522409     -0.995145     -0.91662       -0.556396    -0.722689    -0.745658     -0.796919    -0.671148    -0.737722    -0.772082    -0.594678     -0.932866     -0.656863    -0.777871     -0.905135     -0.669001      -0.771522    -0.700934     -0.637722    -0.943137     -0.69281     -0.786835    -0.824463    -0.905229     -0.796545     -0.77563      -0.931092    -1.1127      -0.778431     -0.800187    -0.763212    -0.720635
9     0.0436128    392.    292.       14.57        318.2         3.265        0.714548      0.83124      0.751914     0.643798       0.835835      0.738744     0.646248      0.983155      0.061562      0.745482     0.694946     0.835222     0.603369      0.844104     0.59755      0.821746     0.614089     0.642266      0.777029       0.416539      0.913323      0.492802      0.87657       0.769985     0.601225      1.21623       0.100459      0.352527       1.04288      0.789587     0.698622      0.59755      0.852374     0.768453     0.608576     0.992343      0.326187      0.832466     0.656355      0.37856       0.847473       0.486677     0.815008      0.903216     0.313017      0.753446     0.620827     0.608882     0.36294       0.588055      0.651149      0.45513      0.0447167    0.622358      0.557427     0.644104     0.745789
10    0.0489532    440.    153.       7.497        166.5         1.867        -0.388324     -0.300482    -0.385645    -0.480986      -0.228709     -0.418854    -0.460632     -0.304231     -0.870916     -0.392073    -0.453669    -0.304231    -0.507766     -0.317622    -0.460096    -0.296733    -0.476165    -0.431709     -0.358864      -0.630423     -0.259775     -0.615961     -0.256026     -0.317086    -0.51473      0.0498125     -0.936797     -0.66631       -0.157472    -0.34601     -0.444563     -0.491162    -0.299946    -0.384574    -0.525442    -0.174612     -0.701125     -0.33369     -0.44135      -0.675951     -0.314944      -0.611676    -0.30316      -0.293519    -0.717193     -0.416176    -0.435994    -0.420996    -0.74933      -0.503482     -0.456347     -0.487413    -0.964114    -0.441885     -0.526513    -0.440279    -0.386181
11    0.0545161    490.    81.3       4.007        88.24         1.094        -0.724314     -0.600183    -0.642779    -0.720932      -0.607587     -0.70128     -0.790219     -0.812431     -1.19963      -0.751188    -0.713437    -0.62404     -0.788483     -0.599634    -0.819744    -0.580804    -0.840037    -0.749634     -0.70585       -1.01536      -0.493693     -1.03446      -0.493601     -0.543693    -0.982358     -0.207313     -1.3489       -0.990768      -0.461883    -0.63574     -0.766819     -0.840494    -0.589854    -0.676143    -0.821664    -0.522121     -0.995795     -0.70192     -0.729525     -0.993053     -0.640768      -1.07806     -0.586654     -0.619013    -0.999909     -0.773309    -0.746344    -0.774497    -1.03272      -0.870475     -0.753839     -0.87011     -1.16252     -0.811883     -0.814625    -0.777148    -0.695064
12    0.0605239    544.    44.1       2.204        47.96         0.6555       -0.952555     -0.832647    -0.870481    -0.915789      -0.844088     -0.928299    -1.00778      -1.1402       -1.32037      -0.987185    -0.926316    -0.865446    -1.00397      -0.842563    -1.03768     -0.818612    -1.05904     -0.959725     -0.955454      -1.19481      -0.770709     -1.23814      -0.728452     -0.747674    -1.22166      -0.465446     -1.5312       -1.17742       -0.736995    -0.856903    -0.991762     -1.05965     -0.821053    -0.888635    -1.06117     -0.782151     -1.18124      -0.962471    -0.945995     -1.18947      -0.875515      -1.31854     -0.805339     -0.861937    -1.17727      -1.01541     -0.960183    -0.962014    -1.22212      -1.07704      -0.973303     -1.00992     -1.27384     -1.02777      -1.03509     -0.996339    -0.919451
13    0.0667544    600.    23.9       1.243        25.95         0.4313       0.0832367     0.176675     0.170183     0.132854       0.147229      0.102713     0.0428936     -0.15604      -0.141665     0.0245769    0.121261     0.139346     0.0607466     0.170879     0.0322281    0.194992     -0.0111291   0.0971482     0.069789       -0.10109      0.237885      -0.14978      0.266636      0.281706     -0.154649     0.449339      -0.371667     -0.0628333     0.231162     0.172038     0.0447484     0.006492     0.184558     0.139346     0.011361     0.200325      -0.0751217    0.0593554    0.108277      -0.073035     0.134013       -0.256666    0.207744      0.122652     -0.0544864    0.0183167    0.0901924    0.107814     -0.115929     -0.00996986   0.0971482     0.0744262    -0.102249    0.0315326     0.04869      0.0482263    0.101785
14    0.0734298    660.    13.5       0.6823       14.67         0.1508       -0.478117     -0.328249    -0.320292    -0.31366       -0.367374     -0.415119    -0.487401     -0.927056     -0.758621     -0.562334    -0.37931     -0.389257    -0.484748     -0.340186    -0.555703    -0.265252    -0.573607    -0.45756      -0.503316      -0.706897     -0.240716     -0.897878     -0.154509     -0.114058    -0.875995     0.177056      -1.19629      -0.66313       -0.240716    -0.293767    -0.480106     -0.568966    -0.295756    -0.330239    -0.615385    -0.269894     -0.688329     -0.56366     -0.433024     -0.679045     -0.414456      -1.06565     -0.226127     -0.409814    -0.690318     -0.61008     -0.411804    -0.397878    -0.755968     -0.596154     -0.441645     -0.450928    -0.681698    -0.539788     -0.540451    -0.535146    -0.416446
15    0.0805503    724.    7.58       0.3917       8.231         0.08841      0.205407      0.309467     0.340799     0.321231       0.262866      0.225879     0.160389      -0.250424     -0.00328017   0.107906     0.240697     0.274856     0.160955      0.305848     0.129284     0.340459     0.073408     0.223165      0.16842        -0.0174188    0.357991      -0.122611     0.443954      0.473363     -0.163556     0.671983      -0.386042     0.0378916      0.357086     0.312521     0.148965      0.108811     0.313652     0.307884     0.0590431    0.317385      0.0404932     0.13132      0.25099       0.0148173     0.235268       -0.294876    0.395091      0.228368     0.0542925     0.076575     0.224975     0.242167     -0.0307658    0.0782717     0.202918      0.243638     0.0602873    0.127587      0.147947     0.153942     0.224409
16    0.0878932    790.    4.35       0.2297       4.726         0.04685      -0.150053     -0.0595518   -0.020064    -0.000640342   -0.141729     -0.102455    -0.184205     -0.583351     -0.281537     -0.250374    -0.0847385   -0.0712914   -0.184632     -0.0514408   -0.198079    -0.0151547   -0.248666    -0.107791     -0.172252      -0.332764     -0.00512273   -0.433084     0.0633938     0.106083     -0.467236     0.263394      -0.656137     -0.284739      -0.0192102   -0.0458911   -0.190395     -0.231804    -0.0377801   -0.0275347   -0.301814    -0.0471718    -0.2873       -0.22476     -0.0890075    -0.314194     -0.116756      -0.603415    0.0567769     -0.127855    -0.280043     -0.25571     -0.120598    -0.0966916   -0.32444      -0.242903     -0.144717     -0.103522    -0.221558    -0.218783     -0.176948    -0.173319    -0.114194
